number,speaker,num_nonstop,num_poswords,num_negwords,num_poswords_lan,num_negwords_lan,num_poswords_port,num_negwords_port,num_poswords_sb,num_negwords_sb
0,LEHRER:,136,14,11,9,10,10,10,10,10
1,OBAMA:,135,12,13,14,11,8,12,8,12
2,LEHRER:,4,1,1,1,1,1,1,1,1
3,ROMNEY:,145,23,15,14,14,17,12,17,12
4,LEHRER:,10,2,2,3,2,2,2,2,2
5,OBAMA:,162,14,10,12,13,13,14,13,14
6,LEHRER:,12,1,1,1,2,1,2,1,2
7,ROMNEY:,243,14,15,20,22,16,25,16,25
8,LEHRER:,19,4,6,3,3,3,5,3,5
9,OBAMA:,85,7,7,9,5,5,5,5,5
10,LEHRER:,1,1,1,1,1,1,1,1,1
11,OBAMA:,76,12,9,10,9,11,10,11,10
12,LEHRER:,15,8,8,8,8,8,8,8,8
13,ROMNEY:,8,3,4,3,4,3,4,3,4
10,LEHRER:,1,1,1,1,1,1,1,1,1
15,ROMNEY:,140,11,7,13,16,10,15,10,15
16,LEHRER:,8,1,2,1,1,1,1,1,1
17,OBAMA:,154,12,10,13,13,13,14,13,14
10,LEHRER:,1,1,1,1,1,1,1,1,1
19,ROMNEY:,3,2,2,2,2,2,2,2,2
20,LEHRER:,5,4,4,4,4,4,4,4,4
21,ROMNEY:,4,2,2,2,2,2,2,2,2
22,LEHRER:,6,1,3,1,1,1,1,1,1
23,ROMNEY:,3,2,1,2,1,2,1,2,1
24,LEHRER:,14,2,2,2,2,3,2,3,2
25,ROMNEY:,128,12,6,7,18,6,16,6,18
26,OBAMA:,114,14,11,8,10,9,8,9,8
27,ROMNEY:,7,3,3,3,3,3,3,3,3
28,LEHRER:,4,1,1,1,1,1,1,1,1
29,ROMNEY:,99,12,10,13,13,12,12,12,12
30,LEHRER:,24,3,3,3,3,3,5,3,5
31,ROMNEY:,89,10,4,11,5,13,5,13,5
32,OBAMA:,1,1,1,1,1,1,1,1,1
33,ROMNEY:,70,7,8,7,10,5,7,5,7
34,LEHRER:,3,1,1,1,1,1,1,1,1
35,OBAMA:,180,10,14,14,13,11,12,11,12
36,LEHRER:,4,1,2,1,3,1,1,1,1
37,OBAMA:,5,2,2,2,2,3,2,3,2
38,LEHRER:,2,1,1,1,1,1,1,1,1
39,OBAMA:,2,1,2,1,2,1,1,1,1
40,LEHRER:,5,2,1,2,1,2,1,2,1
41,ROMNEY:,4,1,1,1,1,1,1,1,1
42,LEHRER:,4,2,2,3,2,2,2,2,2
43,ROMNEY:,11,1,2,1,2,1,2,1,2
44,OBAMA:,10,1,1,1,1,1,1,1,1
45,ROMNEY:,122,14,17,14,16,12,15,12,15
46,LEHRER:,5,1,1,1,1,2,1,2,1
47,ROMNEY:,2,1,1,1,1,1,1,1,1
48,LEHRER:,2,1,1,1,1,1,1,1,1
49,OBAMA:,3,1,1,1,1,1,1,1,1
50,LEHRER:,7,1,1,1,1,1,1,1,1
51,OBAMA:,13,3,3,3,3,3,3,3,3
52,ROMNEY:,50,5,6,5,5,5,5,5,5
53,LEHRER:,11,6,5,5,5,5,5,5,5
54,OBAMA:,195,24,13,17,11,18,14,18,14
55,ROMNEY:,10,2,2,2,2,2,2,2,2
56,LEHRER:,3,3,3,3,3,3,3,3,3
57,ROMNEY:,20,2,2,2,4,2,4,2,4
58,OBAMA:,2,1,1,1,1,2,1,2,1
59,ROMNEY:,86,10,6,7,8,8,8,8,8
60,LEHRER:,1,1,1,1,1,1,1,1,1
61,ROMNEY:,71,12,13,11,13,14,12,14,12
62,LEHRER:,1,1,1,1,1,1,1,1,1
63,ROMNEY:,9,4,3,3,3,3,3,3,3
64,LEHRER:,5,3,3,3,3,3,3,3,3
47,ROMNEY:,2,1,1,1,1,1,1,1,1
66,LEHRER:,13,3,2,2,2,2,2,2,2
67,OBAMA:,156,34,12,16,13,20,14,20,14
68,LEHRER:,8,2,1,1,1,1,1,1,1
69,ROMNEY:,159,10,7,9,6,6,7,6,8
48,LEHRER:,2,1,1,1,1,1,1,1,1
71,OBAMA:,20,4,1,4,2,5,2,5,2
72,LEHRER:,3,2,1,2,1,2,1,2,1
73,OBAMA:,3,1,1,1,1,1,1,1,1
74,ROMNEY:,3,1,1,1,1,1,1,1,1
75,OBAMA:,2,1,1,2,1,2,1,2,1
76,ROMNEY:,5,2,2,2,2,2,2,2,2
77,OBAMA:,139,22,9,17,9,24,10,24,11
78,LEHRER:,12,4,3,5,3,7,3,7,3
79,ROMNEY:,13,2,1,2,1,2,1,2,1
80,LEHRER:,4,3,3,3,3,3,3,3,3
81,ROMNEY:,122,14,9,13,12,11,9,11,11
82,OBAMA:,59,12,4,11,3,8,4,8,4
83,LEHRER:,9,1,1,2,2,3,1,3,2
84,OBAMA:,5,4,4,4,4,4,4,4,4
47,ROMNEY:,2,1,1,1,1,1,1,1,1
86,OBAMA:,1,1,1,1,1,1,1,1,1
87,ROMNEY:,8,3,3,3,3,3,3,3,3
88,OBAMA:,6,4,4,4,4,4,4,4,4
89,LEHRER:,4,2,2,2,2,2,2,2,2
90,OBAMA:,3,1,2,1,3,1,1,1,1
91,LEHRER:,2,1,1,1,1,1,1,1,1
92,ROMNEY:,2,1,1,1,1,1,1,1,1
93,LEHRER:,4,2,2,2,2,2,2,2,2
94,ROMNEY:,12,5,4,5,5,5,4,5,5
10,LEHRER:,1,1,1,1,1,1,1,1,1
96,ROMNEY:,5,1,1,1,1,2,1,2,1
97,LEHRER:,4,1,1,1,1,1,1,1,1
98,ROMNEY:,12,3,2,2,3,3,2,3,3
99,LEHRER:,7,3,3,3,3,3,3,3,3
100,ROMNEY:,2,1,1,1,1,1,1,1,1
101,LEHRER:,3,2,2,2,2,2,2,2,2
100,ROMNEY:,2,1,1,1,1,1,1,1,1
100,ROMNEY:,2,1,1,1,1,1,1,1,1
104,LEHRER:,20,2,2,3,2,4,2,4,2
105,ROMNEY:,26,6,5,4,5,6,4,6,4
106,LEHRER:,2,1,2,1,1,1,1,1,1
107,ROMNEY:,2,1,1,1,1,1,1,1,1
108,LEHRER:,3,3,3,3,3,3,3,3,3
109,ROMNEY:,55,5,8,5,6,5,6,5,6
110,LEHRER:,3,1,1,1,1,1,1,1,1
111,ROMNEY:,12,3,1,1,1,1,1,1,1
112,LEHRER:,5,3,3,3,3,3,3,3,3
113,ROMNEY:,8,5,5,5,5,5,5,5,5
114,LEHRER:,7,2,2,4,2,2,2,2,2
115,OBAMA:,118,11,13,11,12,11,11,11,11
116,ROMNEY:,93,9,10,4,10,4,8,4,8
117,LEHRER:,23,5,3,6,3,8,3,8,3
118,ROMNEY:,142,12,10,14,14,18,6,18,11
119,LEHRER:,135,8,15,10,12,10,11,10,11
120,OBAMA:,37,7,8,6,8,6,7,6,7
121,LEHRER:,13,2,3,2,3,3,3,3,3
122,ROMNEY:,144,11,11,13,11,13,13,13,13
123,OBAMA:,201,21,13,20,13,32,11,32,13
60,LEHRER:,1,1,1,1,1,1,1,1,1
125,OBAMA:,4,2,2,2,2,3,2,3,2
126,LEHRER:,3,1,1,1,1,1,1,1,1
127,ROMNEY:,1,1,1,1,1,1,1,1,1
128,LEHRER:,7,4,4,4,4,4,4,4,4
129,ROMNEY:,146,25,13,14,15,21,12,21,16
130,OBAMA:,149,16,9,18,12,20,10,20,10
131,LEHRER:,2,1,1,1,1,2,1,2,1
132,ROMNEY:,3,2,2,3,2,2,2,2,2
133,LEHRER:,1,1,1,1,1,1,1,1,1
134,ROMNEY:,121,9,7,8,9,14,11,14,11
135,LEHRER:,25,6,5,5,5,5,6,5,6
136,OBAMA:,3,1,1,1,1,1,1,1,1
137,LEHRER:,3,2,2,2,2,2,2,2,2
138,OBAMA:,146,23,3,13,6,17,4,18,4
139,LEHRER:,6,1,1,1,1,1,1,1,1
140,ROMNEY:,146,23,8,10,9,15,7,15,7
10,LEHRER:,1,1,1,1,1,1,1,1,1
142,ROMNEY:,5,1,1,1,1,2,1,2,1
143,LEHRER:,17,4,3,3,3,3,3,3,3
144,ROMNEY:,75,16,15,16,16,15,14,15,14
145,LEHRER:,9,2,1,1,1,1,1,1,1
146,OBAMA:,18,4,1,3,1,3,1,3,1
147,LEHRER:,10,3,3,3,3,3,3,3,3
148,OBAMA:,74,9,6,8,6,7,6,7,6
149,LEHRER:,4,2,2,2,2,2,2,2,2
150,OBAMA:,99,10,7,7,7,6,7,6,7
151,LEHRER:,8,4,4,4,4,5,4,5,4
152,ROMNEY:,139,18,7,14,11,14,7,14,7
153,LEHRER:,22,6,9,6,8,6,7,6,7
154,OBAMA:,3,1,1,1,1,1,1,1,1
155,LEHRER:,37,5,7,5,6,6,8,6,8
156,ROMNEY:,23,3,3,4,3,5,4,5,4
157,LEHRER:,2,1,1,1,1,1,1,1,1
158,ROMNEY:,60,16,13,13,14,13,14,13,14
10,LEHRER:,1,1,1,1,1,1,1,1,1
160,ROMNEY:,19,4,4,3,3,6,4,6,4
48,LEHRER:,2,1,1,1,1,1,1,1,1
162,OBAMA:,123,15,14,16,13,13,13,13,13
163,LEHRER:,1,1,1,1,1,1,1,1,1
164,OBAMA:,18,3,2,1,1,2,1,2,1
165,LEHRER:,14,1,1,1,1,1,1,1,1
166,OBAMA:,157,28,11,19,9,18,11,19,11
167,LEHRER:,5,1,1,1,1,1,1,1,1
168,ROMNEY:,167,10,10,19,11,17,12,17,13
169,LEHRER:,23,1,2,4,2,5,2,5,2
